"","X.miRNA","read_count","precursor","total","XmiRNA1","XmiRNA2","XmiRNA3","XmiRNA4","XmiRNA5","XmiRNA6","XmiRNA7","XmiRNA8","XmiRNA9","XmiRNA10","XmiRNA11","XmiRNA12","XmiRNA13","XmiRNA14","XmiRNA15","XmiRNA16","XmiRNA17","XmiRNA18","XmiRNA19","XmiRNA20","XmiRNA21","XmiRNA22","XmiRNA23","XmiRNA24","XmiRNA25","XmiRNA26","XmiRNA27","XmiRNA28","XmiRNA29","XmiRNA30","XmiRNA31","XmiRNA32","XmiRNA33","XmiRNA34","XmiRNA35","XmiRNA36","XmiRNA37","XmiRNA38","XmiRNA39","XmiRNA40","XmiRNA41","XmiRNA42","XmiRNA43","XmiRNA44","XmiRNA45","XmiRNA46","X10miRNA1.norm.","XmiRNA2.norm.","XmiRNA3.norm.","XmiRNA4.norm.","XmiRNA5.norm.","XmiRNA6.norm.","XmiRNA7.norm.","XmiRNA8.norm.","XmiRNA9.norm.","XmiRNA10.norm.","XmiRNA11.norm.","XmiRNA12.norm.","XmiRNA13.norm.","XmiRNA14.norm.","XmiRNA15.norm.","XmiRNA16.norm.","XmiRNA17.norm.","XmiRNA18.norm.","XmiRNA19.norm.","XmiRNA20.norm.","XmiRNA21.norm.","XmiRNA22.norm.","XmiRNA23.norm.","XmiRNA24.norm.","XmiRNA25.norm.","XmiRNA26.norm.","XmiRNA27.norm.","XmiRNA28.norm.","XmiRNA29.norm.","XmiRNA30.norm.","XmiRNA31.norm.","XmiRNA32.norm.","XmiRNA33.norm.","XmiRNA34.norm.","XmiRNA35.norm.","XmiRNA36.norm.","XmiRNA37.norm.","XmiRNA38.norm.","XmiRNA39.norm.","XmiRNA40.norm.","XmiRNA41.norm.","XmiRNA42.norm.","XmiRNA43.norm.","XmiRNA44.norm.","XmiRNA45.norm.","XmiRNA46.norm."
"173","hsa-miR-1206",0,"hsa-mir-1206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","hsa-miR-1207-5p",0,"hsa-mir-1207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","hsa-miR-1208",0,"hsa-mir-1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","hsa-miR-12113",0,"hsa-mir-12113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","hsa-miR-12114",20,"hsa-mir-12114",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0
"178","hsa-miR-12115",0,"hsa-mir-12115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","hsa-miR-12116",15,"hsa-mir-12116",15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","hsa-miR-12117",0,"hsa-mir-12117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","hsa-miR-12118",0,"hsa-mir-12118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","hsa-miR-12119",0,"hsa-mir-12119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","hsa-miR-12120",0,"hsa-mir-12120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","hsa-miR-12121",0,"hsa-mir-12121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","hsa-miR-12122",0,"hsa-mir-12122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","hsa-miR-12123",0,"hsa-mir-12123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","hsa-miR-12136",7929,"hsa-mir-12136",7929,154,237,93,106,318,148,74,270,42,164,1,168,63,320,19,203,85,10,95,393,54,425,142,302,238,313,420,47,340,162,249,135,175,150,17,95,126,213,51,46,291,124,350,122,160,219,38.39,99.39,39.85,67.03,92.33,54.44,52.7,33.69,9.5,53.24,0.78,50.27,8.28,310.92,3.85,37.17,10.14,2.68,14.51,253.78,11.67,45.79,59,254.37,45.67,98.25,201.21,12.42,125.41,280.79,58.53,11.4,118.19,57.25,4.62,74.17,28.69,34,12.51,15.32,44.62,35.74,1026.61,116.27,45.39,39.43
"188","hsa-miR-122-5p",8530332,"hsa-mir-122",8530332,510463,91368,95174,112926,100381,32292,14651,32664,133639,281939,50230,823100,161557,23990,107926,17267,256948,846214,153716,7273,15636,795239,112827,36811,865159,161156,643924,17395,212202,140913,59288,354123,227291,41941,27630,27675,69856,293208,48647,11843,164258,137003,16135,13864,31639,150951,127245.18,38315.27,40778.41,71414.34,29145.66,11877.67,10433.37,4075.79,30216.64,91525.86,39062.5,246269.38,21222.86,23309.41,21861.12,3161.8,30650.75,226739.86,23471.78,4696.51,3377.96,85680.17,46876.75,31005.53,166019.53,50588.2,308480.63,4598.54,78274.41,244243.31,13936.19,29913.05,153504.57,16008.79,7514.34,21607.64,15905.21,46802.21,11928.75,3944.76,25188.07,39482.83,47326.85,13212.89,8976.53,27178.99
"189","hsa-miR-1224-5p",765,"hsa-mir-1224",765,0,1,29,0,0,1,1,86,2,0,0,0,0,0,0,137,75,1,0,0,0,22,11,40,0,10,25,0,0,0,28,69,0,0,0,0,7,59,0,7,11,0,9,35,0,99,0,0.42,12.43,0,0,0.37,0.71,10.73,0.45,0,0,0,0,0,0,25.09,8.95,0.27,0,0,0,2.37,4.57,33.69,0,3.14,11.98,0,0,0,6.58,5.83,0,0,0,0,1.59,9.42,0,2.33,1.69,0,26.4,33.36,0,17.83
"190","hsa-miR-1225-5p",157,"hsa-mir-1225",157,0,0,0,0,0,0,0,0,30,0,0,0,0,15,0,0,0,0,0,0,15,0,0,1,0,0,18,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,6.78,0,0,0,0,14.57,0,0,0,0,0,0,3.24,0,0,0.84,0,0,8.62,0,0,50.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0
"191","hsa-miR-1226-5p",62,"hsa-mir-1226",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,7.92
"192","hsa-miR-1227-5p",0,"hsa-mir-1227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","hsa-miR-1228-5p",22344,"hsa-mir-1228",22344,140,201,280,792,328,441,92,270,408,244,1,312,77,30,973,500,212,290,172,3092,146,434,263,3774,549,158,2173,308,239,168,840,431,758,105,179,72,362,321,118,74,99,195,318,47,160,1198,34.9,84.29,119.97,500.86,95.23,162.21,65.52,33.69,92.25,79.21,0.78,93.35,10.12,29.15,197.09,91.56,25.29,77.7,26.26,1996.65,31.54,46.76,109.27,3178.8,105.35,49.6,1041.01,81.42,88.16,291.19,197.45,36.41,511.93,40.08,48.68,56.21,82.42,51.24,28.93,24.65,15.18,56.2,932.75,44.79,45.39,215.7
"194","hsa-miR-1229-5p",102,"hsa-mir-1229",102,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,8,0,0,20,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,5.4,6.74,0,0,9.58,3.97,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","hsa-miR-122b-5p",720,"hsa-mir-122b",720,63,14,27,21,0,0,0,0,0,14,0,73,14,0,0,0,58,77,0,0,0,62,0,6,11,17,100,0,24,7,0,67,0,1,1,0,0,0,0,0,0,0,13,0,0,50,15.7,5.87,11.57,13.28,0,0,0,0,0,4.54,0,21.84,1.84,0,0,0,6.92,20.63,0,0,0,6.68,0,5.05,2.11,5.34,47.91,0,8.85,12.13,0,5.66,0,0.38,0.27,0,0,0,0,0,0,0,38.13,0,0,9
"196","hsa-miR-1231",0,"hsa-mir-1231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","hsa-miR-1233-5p",38,"hsa-mir-1233-1",38,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0
"198","hsa-miR-1233-5p",38,"hsa-mir-1233-2",38,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0
"199","hsa-miR-1236-5p",40,"hsa-mir-1236",40,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","hsa-miR-1238-5p",9,"hsa-mir-1238",9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","hsa-miR-124-5p",7,"hsa-mir-124-1",7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.42,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
"202","hsa-miR-124-5p",7,"hsa-mir-124-2",7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.42,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
"203","hsa-miR-124-5p",7,"hsa-mir-124-3",7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.42,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
"204","hsa-miR-1243",5,"hsa-mir-1243",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
"205","hsa-miR-1245b-5p",0,"hsa-mir-1245b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","hsa-miR-1246",1251960,"hsa-mir-1246",1251960,14606,1671,9427,2052,75696,16468,1287,9548,18667,36793,442,125661,6017,5246,52228,13224,23360,107749,10464,1624,3893,8812,16908,6407,4772,19268,120670,33615,33821,15916,42216,217618,4531,3825,6863,12361,25277,49620,10288,4622,23404,28952,9645,1020,5192,10214,3640.9,700.74,4039.11,1297.68,21978.36,6057.27,916.51,1191.39,4220.73,11944.11,343.73,37597.44,790.42,5097.17,10579.12,2421.48,2786.56,28870.94,1597.81,1048.69,841.03,949.42,7024.84,5396.55,915.72,6048.38,57808.62,8886.47,12475.47,27587.07,9923.26,18382.37,3060.08,1459.99,1866.48,9651.02,5755.21,7920.4,2522.72,1539.53,3588.88,8343.66,28290.51,972.1,1473.06,1839.05
"207","hsa-miR-1248",0,"hsa-mir-1248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","hsa-miR-1249-5p",230,"hsa-mir-1249",230,0,29,0,0,11,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,21,0,41,14,0,24,0,0,0,0,0,0,43,8,0,0,0,0,0,18,0,0,12.16,0,0,3.19,0,0,0,1.13,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,6.59,0,10.84,5.16,0,5.64,0,0,0,0,0,0,6.86,1.96,0,0,0,0,0,5.11,0
"209","hsa-miR-1250-5p",1032,"hsa-mir-1250",1032,88,17,0,0,12,30,53,0,19,85,0,0,36,22,76,0,0,0,9,0,21,40,0,0,36,20,0,11,88,0,13,0,1,0,0,99,0,113,10,19,64,16,0,32,0,2,21.94,7.13,0,0,3.48,11.03,37.74,0,4.3,27.59,0,0,4.73,21.38,15.39,0,0,0,1.37,0,4.54,4.31,0,0,6.91,6.28,0,2.91,32.46,0,3.06,0,0.68,0,0,77.3,0,18.04,2.45,6.33,9.81,4.61,0,30.5,0,0.36
"210","hsa-miR-1251-5p",149,"hsa-mir-1251",149,0,16,0,0,0,0,26,0,0,0,0,0,0,0,0,24,0,0,10,0,0,0,0,24,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6.71,0,0,0,0,18.52,0,0,0,0,0,0,0,0,4.39,0,0,1.53,0,0,0,0,20.21,0,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44
"211","hsa-miR-1252-5p",0,"hsa-mir-1252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","hsa-miR-1253",0,"hsa-mir-1253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","hsa-miR-1255a",156,"hsa-mir-1255a",156,0,0,0,0,0,16,0,14,0,0,0,0,20,6,0,0,0,0,8,0,0,18,0,0,18,11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,1.75,0,0,0,0,2.63,5.83,0,0,0,0,1.22,0,0,1.94,0,0,3.45,3.45,0,0,0,0,0,0,30.39,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","hsa-miR-1255b-5p",2747,"hsa-mir-1255b-1",2747,16,0,178,6,29,48,0,176,219,88,1,34,137,12,104,11,255,37,88,32,32,153,8,3,97,35,13,15,46,0,17,212,0,234,61,0,16,1,56,28,158,18,7,36,30,0,3.99,0,76.27,3.79,8.42,17.66,0,21.96,49.52,28.57,0.78,10.17,18,11.66,21.07,2.01,30.42,9.91,13.44,20.66,6.91,16.48,3.32,2.53,18.61,10.99,6.23,3.97,16.97,0,4,17.91,0,89.32,16.59,0,3.64,0.16,13.73,9.33,24.23,5.19,20.53,34.31,8.51,0
"215","hsa-miR-1255b-5p",2727,"hsa-mir-1255b-2",2727,16,0,178,6,29,48,0,176,219,88,1,34,137,12,104,11,255,37,88,32,32,153,8,3,77,35,13,15,46,0,17,212,0,234,61,0,16,1,56,28,158,18,7,36,30,0,3.99,0,76.27,3.79,8.42,17.66,0,21.96,49.52,28.57,0.78,10.17,18,11.66,21.07,2.01,30.42,9.91,13.44,20.66,6.91,16.48,3.32,2.53,14.78,10.99,6.23,3.97,16.97,0,4,17.91,0,89.32,16.59,0,3.64,0.16,13.73,9.33,24.23,5.19,20.53,34.31,8.51,0
"216","hsa-miR-1256",43,"hsa-mir-1256",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.84,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,1.38,0,0,0,5.96,0.18
"217","hsa-miR-1257",0,"hsa-mir-1257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","hsa-miR-125a-5p",200249,"hsa-mir-125a",200249,3430,3652,961,1324,3685,9577,4243,5502,7555,2149,1880,4815,5178,1367,11114,2898,12173,1042,5279,926,3025,21236,2475,3911,9432,4754,2460,3444,1872,510,3237,988,1592,2613,2020,1428,6629,3191,2668,12636,5645,2791,269,2363,3607,6703,855.01,1531.47,411.75,837.3,1069.94,3522.62,3021.55,686.54,1708.23,697.63,1462.02,1440.64,680.21,1328.22,2251.21,530.66,1452.09,279.2,806.08,597.96,653.51,2288,1028.3,3294.19,1809.95,1492.32,1178.5,910.46,690.52,883.98,760.89,83.46,1075.18,997.38,549.37,1114.93,1509.33,509.35,654.22,4208.9,865.63,804.34,789.03,2252.02,1023.37,1206.89
"219","hsa-miR-125b-5p",98566,"hsa-mir-125b-1",98566,2048,2408,196,689,872,1197,3430,921,2074,1513,780,4092,1870,583,4917,2296,9652,2374,2475,1563,1142,6105,840,4361,3805,1547,7064,1039,1262,104,3330,3271,746,162,882,318,1193,1212,1801,1087,5332,1780,150,649,1049,2385,510.51,1009.8,83.98,435.72,253.19,440.28,2442.6,114.92,468.94,491.17,606.58,1224.32,245.65,566.46,995.97,420.43,1151.37,636.1,377.92,1009.3,246.71,657.76,349,3673.23,730.16,485.62,3384.11,274.67,465.51,180.26,782.75,276.3,503.82,61.84,239.87,248.28,271.63,193.46,441.62,362.07,817.63,512.98,439.98,618.52,297.62,429.42
"220","hsa-miR-125b-5p",98476,"hsa-mir-125b-2",98476,2048,2411,196,689,872,1197,3432,921,2074,1513,780,4092,1862,583,4917,2271,9652,2374,2475,1563,1142,6105,840,4362,3805,1547,7064,1012,1262,104,3301,3271,746,162,882,318,1193,1212,1801,1087,5324,1780,150,649,1049,2386,510.51,1011.06,83.98,435.72,253.19,440.28,2444.02,114.92,468.94,491.17,606.58,1224.32,244.6,566.46,995.97,415.85,1151.37,636.1,377.92,1009.3,246.71,657.76,349,3674.07,730.16,485.62,3384.11,267.53,465.51,180.26,775.93,276.3,503.82,61.84,239.87,248.28,271.63,193.46,441.62,362.07,816.41,512.98,439.98,618.52,297.62,429.6
"221","hsa-miR-126-5p",22892,"hsa-mir-126",22892,464,599,47,349,172,201,654,118,246,296,90,360,330,93,361,997,800,667,1596,105,290,1271,842,581,528,482,796,741,144,34,2557,65,38,1,310,55,400,1373,626,489,932,361,5,106,323,997,115.66,251.19,20.14,220.71,49.94,73.93,465.73,14.72,55.62,96.09,69.99,107.71,43.35,90.36,73.12,182.56,95.43,178.72,243.7,67.8,62.65,136.94,349.83,489.37,101.32,151.3,381.33,195.89,53.12,58.93,601.05,5.49,25.66,0.38,84.31,42.94,91.07,219.16,153.5,162.88,142.92,104.04,14.67,101.02,91.64,179.51
"222","hsa-miR-1260a",97045,"hsa-mir-1260a",97045,469,5499,197,779,1106,2908,5631,2013,3593,699,813,1621,976,904,3527,3025,4265,635,1060,584,1586,5292,9486,1850,1015,1430,1313,3471,1279,430,5241,509,3456,1759,1566,834,639,5895,895,930,1477,528,348,321,1261,3930,116.91,2306.01,84.41,492.64,321.13,1069.62,4009.99,251.18,812.4,226.92,632.25,485,128.21,878.35,714.42,553.92,508.76,170.15,161.86,377.12,342.64,570.17,3941.19,1558.24,194.77,448.89,629.01,917.59,471.78,745.32,1231.95,43,2334.06,671.41,425.89,651.16,145.49,940.97,219.46,309.77,226.49,152.16,1020.75,305.92,357.77,707.6
"223","hsa-miR-1260b",115957,"hsa-mir-1260b",115957,553,3547,330,742,1930,3990,5073,3409,4631,1045,840,3794,1189,1275,4163,3579,5711,877,901,719,2033,4774,10808,2261,1123,1926,1110,4578,1495,544,6989,576,3668,2547,1911,930,549,7728,1285,1733,1702,754,392,389,1845,4009,137.85,1487.44,141.39,469.24,560.38,1467.6,3612.62,425.37,1047.1,339.24,653.25,1135.15,156.19,1238.83,843.24,655.36,681.25,234.99,137.58,464.29,439.2,514.36,4490.45,1904.42,215.5,604.59,531.76,1210.24,551.46,942.91,1642.83,48.66,2477.24,972.18,519.72,726.11,125,1233.55,315.1,577.24,260.99,217.29,1149.81,370.73,523.46,721.83
"224","hsa-miR-1261",3760,"hsa-mir-1261",3760,69,71,10,12,32,32,118,114,2,34,1,24,126,69,92,20,18,41,142,115,263,388,25,13,377,30,1,92,78,1,205,15,0,67,6,21,52,162,312,13,139,161,0,4,158,35,17.2,29.77,4.28,7.59,9.29,11.77,84.03,14.22,0.45,11.04,0.78,7.18,16.55,67.04,18.64,3.66,2.15,10.99,21.68,74.26,56.82,41.8,10.39,10.95,72.34,9.42,0.48,24.32,28.77,1.73,48.19,1.27,0,25.57,1.63,16.4,11.84,25.86,76.51,4.33,21.31,46.4,0,3.81,44.83,6.3
